year,region_num,region_code,Region Name,value_level,value
1985,1,33,Middle Mainstem,sd,4.7
1985,1,34,Pelly,sd,4.2
1985,1,35,Stewart,sd,3.4
1985,1,31,Teslin River,sd,6.4
1985,1,30,Upper Lakes and Mainstem,sd,1.3
1985,1,38,White-Donjek,sd,1.7
1986,1,32,Carmacks,sd,4
1986,1,36,Lower Mainstem,sd,2.6
1986,1,33,Middle Mainstem,sd,2.3
1986,1,34,Pelly,sd,4.2
1986,1,35,Stewart,sd,4.1
1986,1,31,Teslin River,sd,5.3
1986,1,30,Upper Lakes and Mainstem,sd,1.3
1986,1,38,White-Donjek,sd,2.5
1987,1,32,Carmacks,sd,4.3
1987,1,36,Lower Mainstem,sd,1.9
1987,1,33,Middle Mainstem,sd,3.5
1987,1,34,Pelly,sd,4.7
1987,1,35,Stewart,sd,4
1987,1,31,Teslin River,sd,5.1
1987,1,30,Upper Lakes and Mainstem,sd,1.5
1987,1,38,White-Donjek,sd,2.7
1991,1,32,Carmacks,sd,4.4
1991,1,36,Lower Mainstem,sd,2.7
1991,1,33,Middle Mainstem,sd,5
1991,1,34,Pelly,sd,3.8
1991,1,35,Stewart,sd,3.7
1991,1,31,Teslin River,sd,5.7
1991,1,30,Upper Lakes and Mainstem,sd,2.4
1991,1,38,White-Donjek,sd,1.5
1992,1,32,Carmacks,sd,3.5
1992,1,36,Lower Mainstem,sd,3
1992,1,33,Middle Mainstem,sd,3.9
1992,1,34,Pelly,sd,4.4
1992,1,35,Stewart,sd,3.9
1992,1,31,Teslin River,sd,4
1992,1,30,Upper Lakes and Mainstem,sd,1.4
1992,1,38,White-Donjek,sd,3
1993,1,32,Carmacks,sd,4
1993,1,36,Lower Mainstem,sd,3.5
1993,1,33,Middle Mainstem,sd,3.9
1993,1,34,Pelly,sd,3.7
1993,1,35,Stewart,sd,3.1
1993,1,31,Teslin River,sd,3.6
1993,1,30,Upper Lakes and Mainstem,sd,1.4
1993,1,38,White-Donjek,sd,3.4
1994,1,32,Carmacks,sd,4.2
1994,1,36,Lower Mainstem,sd,3.3
1994,1,33,Middle Mainstem,sd,4.3
1994,1,34,Pelly,sd,3.9
1994,1,35,Stewart,sd,3.6
1994,1,31,Teslin River,sd,5.3
1994,1,30,Upper Lakes and Mainstem,sd,1.7
1994,1,38,White-Donjek,sd,3.1
1995,1,32,Carmacks,sd,4.7
1995,1,36,Lower Mainstem,sd,2.4
1995,1,33,Middle Mainstem,sd,5
1995,1,34,Pelly,sd,3.2
1995,1,35,Stewart,sd,3.9
1995,1,31,Teslin River,sd,6
1995,1,30,Upper Lakes and Mainstem,sd,2.5
1995,1,38,White-Donjek,sd,1.8
1996,1,32,Carmacks,sd,5.9
1996,1,36,Lower Mainstem,sd,2.1
1996,1,33,Middle Mainstem,sd,4.6
1996,1,34,Pelly,sd,4.1
1996,1,35,Stewart,sd,3.6
1996,1,31,Teslin River,sd,4.8
1996,1,30,Upper Lakes and Mainstem,sd,1.8
1996,1,38,White-Donjek,sd,3.6
1997,1,32,Carmacks,sd,5.1
1997,1,36,Lower Mainstem,sd,2.4
1997,1,33,Middle Mainstem,sd,2.6
1997,1,34,Pelly,sd,3.9
1997,1,35,Stewart,sd,3.1
1997,1,31,Teslin River,sd,5.5
1997,1,30,Upper Lakes and Mainstem,sd,2.3
1997,1,38,White-Donjek,sd,2.6
1999,1,32,Carmacks,sd,4.9
1999,1,36,Lower Mainstem,sd,2.7
1999,1,33,Middle Mainstem,sd,4.9
1999,1,34,Pelly,sd,4.5
1999,1,35,Stewart,sd,3.9
1999,1,31,Teslin River,sd,5.3
1999,1,30,Upper Lakes and Mainstem,sd,1.7
1999,1,38,White-Donjek,sd,3.1
2000,1,32,Carmacks,sd,4.2
2000,1,36,Lower Mainstem,sd,2
2000,1,33,Middle Mainstem,sd,4.2
2000,1,34,Pelly,sd,4
2000,1,35,Stewart,sd,2.1
2000,1,31,Teslin River,sd,5.1
2000,1,30,Upper Lakes and Mainstem,sd,2.1
2000,1,38,White-Donjek,sd,3.3
2001,1,32,Carmacks,sd,3.4
2001,1,36,Lower Mainstem,sd,3.8
2001,1,33,Middle Mainstem,sd,2.8
2001,1,34,Pelly,sd,4.3
2001,1,35,Stewart,sd,3.5
2001,1,31,Teslin River,sd,3.2
2001,1,30,Upper Lakes and Mainstem,sd,0.2
2001,1,38,White-Donjek,sd,3.2
2002,1,32,Carmacks,sd,3.2
2002,1,36,Lower Mainstem,sd,3
2002,1,33,Middle Mainstem,sd,5.7
2002,1,34,Pelly,sd,3.6
2002,1,35,Stewart,sd,4.5
2002,1,31,Teslin River,sd,5.3
2002,1,30,Upper Lakes and Mainstem,sd,1.1
2002,1,38,White-Donjek,sd,1.2
2003,1,32,Carmacks,sd,4.8
2003,1,36,Lower Mainstem,sd,3.4
2003,1,33,Middle Mainstem,sd,4.7
2003,1,34,Pelly,sd,4.4
2003,1,35,Stewart,sd,2.5
2003,1,31,Teslin River,sd,4.9
2003,1,30,Upper Lakes and Mainstem,sd,1.5
2003,1,38,White-Donjek,sd,2.9
2004,1,32,Carmacks,sd,5.2
2004,1,36,Lower Mainstem,sd,3.7
2004,1,33,Middle Mainstem,sd,4.7
2004,1,34,Pelly,sd,5
2004,1,35,Stewart,sd,3.6
2004,1,31,Teslin River,sd,5.4
2004,1,30,Upper Lakes and Mainstem,sd,1.7
2004,1,38,White-Donjek,sd,2.7
2005,1,32,Carmacks,sd,5.3
2005,1,36,Lower Mainstem,sd,3.4
2005,1,33,Middle Mainstem,sd,2
2005,1,34,Pelly,sd,4.6
2005,1,35,Stewart,sd,2.7
2005,1,31,Teslin River,sd,5.7
2005,1,30,Upper Lakes and Mainstem,sd,1.7
2005,1,38,White-Donjek,sd,2.7
2006,1,32,Carmacks,sd,4.9
2006,1,36,Lower Mainstem,sd,2.7
2006,1,33,Middle Mainstem,sd,5
2006,1,34,Pelly,sd,3.5
2006,1,35,Stewart,sd,3.2
2006,1,31,Teslin River,sd,5.7
2006,1,30,Upper Lakes and Mainstem,sd,1.9
2006,1,38,White-Donjek,sd,1.8
2007,1,32,Carmacks,sd,3.9
2007,1,36,Lower Mainstem,sd,2.9
2007,1,33,Middle Mainstem,sd,3.8
2007,1,34,Pelly,sd,5.1
