count_type	month	day	count	year	julian
fish_wheel	7	3	7	1990	184
fish_wheel	7	4	9	1990	185
fish_wheel	7	5	6	1990	186
fish_wheel	7	6	5	1990	187
fish_wheel	7	7	15	1990	188
fish_wheel	7	8	8	1990	189
fish_wheel	7	9	20	1990	190
fish_wheel	7	10	24	1990	191
fish_wheel	7	11	25	1990	192
fish_wheel	7	12	30	1990	193
fish_wheel	7	13	30	1990	194
fish_wheel	7	14	33	1990	195
fish_wheel	7	15	44	1990	196
fish_wheel	7	16	63	1990	197
fish_wheel	7	17	71	1990	198
fish_wheel	7	18	72	1990	199
fish_wheel	7	19	78	1990	200
fish_wheel	7	20	71	1990	201
fish_wheel	7	21	78	1990	202
fish_wheel	7	22	63	1990	203
fish_wheel	7	23	67	1990	204
fish_wheel	7	24	67	1990	205
fish_wheel	7	25	49	1990	206
fish_wheel	7	26	67	1990	207
fish_wheel	7	27	42	1990	208
fish_wheel	7	28	42	1990	209
fish_wheel	7	29	42	1990	210
fish_wheel	7	30	36	1990	211
fish_wheel	7	31	32	1990	212
fish_wheel	8	1	24	1990	213
fish_wheel	8	2	14	1990	214
fish_wheel	8	3	11	1990	215
fish_wheel	8	4	13	1990	216
fish_wheel	8	5	13	1990	217
fish_wheel	8	6	11	1990	218
fish_wheel	8	7	12	1990	219
fish_wheel	8	8	12	1990	220
fish_wheel	8	9	15	1990	221
fish_wheel	8	10	9	1990	222
fish_wheel	8	11	6	1990	223
fish_wheel	8	12	6	1990	224
fish_wheel	8	13	1	1990	225
fish_wheel	8	14	2	1990	226
fish_wheel	8	15	0	1990	227
fish_wheel	8	16	2	1990	228
fish_wheel	8	17	0	1990	229
fish_wheel	8	18	0	1990	230
fish_wheel	8	19	0	1990	231
fish_wheel	8	20	1	1990	232
fish_wheel	8	21	0	1990	233
fish_wheel	8	22	0	1990	234
fish_wheel	8	23	2	1990	235
fish_wheel	8	24	0	1990	236
fish_wheel	8	25	3	1990	237
fish_wheel	8	26	0	1990	238
fish_wheel	8	27	0	1990	239
fish_wheel	8	28	2	1990	240
fish_wheel	8	29	0	1990	241
fish_wheel	8	30	0	1990	242
fish_wheel	8	31	0	1990	243
fish_wheel	9	1	0	1990	244
fish_wheel	9	2	0	1990	245
fish_wheel	9	3	0	1990	246
fish_wheel	9	4	0	1990	247
fish_wheel	9	5	0	1990	248
fish_wheel	9	6	0	1990	249
fish_wheel	9	7	0	1990	250
fish_wheel	9	8	0	1990	251
fish_wheel	9	9	0	1990	252
fish_wheel	9	10	0	1990	253
fish_wheel	9	11	0	1990	254
fish_wheel	9	12	0	1990	255
fish_wheel	9	13	0	1990	256
fish_wheel	9	14	0	1990	257
fish_wheel	9	15	0	1990	258
fish_wheel	9	16	0	1990	259
fish_wheel	9	17	0	1990	260
fish_wheel	9	18	0	1990	261
fish_wheel	9	19	0	1990	262
fish_wheel	9	20	0	1990	263
fish_wheel	9	21	0	1990	264
fish_wheel	9	22	0	1990	265
fish_wheel	9	23	0	1990	266
fish_wheel	9	24	0	1990	267
fish_wheel	9	25	0	1990	268
fish_wheel	9	26	0	1990	269
fish_wheel	9	27	0	1990	270
fish_wheel	9	28	0	1990	271
fish_wheel	9	29	0	1990	272
fish_wheel	9	30	0	1990	273
fish_wheel	10	1	0	1990	274
fish_wheel	10	2	0	1990	275
fish_wheel	10	3	0	1990	276
fish_wheel	10	4	0	1990	277
fish_wheel	10	5	0	1990	278
fish_wheel	10	6	0	1990	279
fish_wheel	10	7	0	1990	280
fish_wheel	10	8	0	1990	281
fish_wheel	10	9	0	1990	282
fish_wheel	10	10	0	1990	283
fish_wheel	6	23	0	1991	174
fish_wheel	6	24	0	1991	175
fish_wheel	6	25	0	1991	176
fish_wheel	6	26	0	1991	177
fish_wheel	6	27	0	1991	178
fish_wheel	6	28	2	1991	179
fish_wheel	6	29	1	1991	180
fish_wheel	6	30	2	1991	181
fish_wheel	7	1	4	1991	182
fish_wheel	7	2	5	1991	183
fish_wheel	7	3	7	1991	184
fish_wheel	7	4	16	1991	185
fish_wheel	7	5	8	1991	186
fish_wheel	7	6	23	1991	187
fish_wheel	7	7	23	1991	188
fish_wheel	7	8	29	1991	189
fish_wheel	7	9	51	1991	190
fish_wheel	7	10	25	1991	191
fish_wheel	7	11	61	1991	192
fish_wheel	7	12	71	1991	193
fish_wheel	7	13	53	1991	194
fish_wheel	7	14	31	1991	195
fish_wheel	7	15	27	1991	196
fish_wheel	7	16	26	1991	197
fish_wheel	7	17	60	1991	198
fish_wheel	7	18	49	1991	199
fish_wheel	7	19	41	1991	200
fish_wheel	7	20	43	1991	201
fish_wheel	7	21	45	1991	202
